"","Estimate","Std. Error","Est. (bias.correct)","Std. (bias.correct)"
"log_effective_area_ctl",11.472279811732,0.216943651784121,NA,NA
"log_effective_area_ctl",11.3093635765313,0.341225085898692,NA,NA
"log_effective_area_ctl",11.9689335307741,0.186554397035416,NA,NA
"log_effective_area_ctl",11.3170565686282,0.341270947103949,NA,NA
"log_effective_area_ctl",11.6556424504532,0.256225070640001,NA,NA
"Index_ctl",3495982.73937822,776740.611793298,5096037.40642879,NA
"Index_ctl",5485003.26681274,1147749.86530143,7955068.9779643,NA
"Index_ctl",2528449.04104695,411716.775929192,3499411.41662314,NA
"Index_ctl",6775740.38527374,1100666.47971258,9763639.43576622,NA
"Index_ctl",1294433.88290494,486271.56197002,1902729.54751373,NA
"Index_ctl",6562432.35596155,2316547.78960142,8852510.46999553,NA
"Index_ctl",958337.997671108,365945.050089716,1451990.93028898,NA
"Index_ctl",884303.324058513,277376.918117534,1332972.14880392,NA
"Index_ctl",853275.845305438,411095.15586811,1260209.78513303,NA
"Index_ctl",646678.409034321,338434.458441223,989509.156334056,NA
"Index_ctl",725301.309539232,288605.364165141,1026174.76996888,NA
"Index_ctl",5111684.86378629,782899.15554837,7211841.77710056,NA
"Index_ctl",8913699.5109952,1787165.89543492,12788742.0084348,NA
"Index_ctl",5131288.61781555,785049.274515067,7253486.30068529,NA
"Index_ctl",4243866.87512861,819566.901514515,6507273.91697246,NA
"Index_ctl",5169120.88538647,788849.084729243,7310476.98225539,NA
"Index_ctl",12462241.7303592,4522473.08977688,19908901.4437773,NA
"ln_Index_ctl",15.0671250784966,0.222180905827769,NA,NA
"ln_Index_ctl",15.5175282472816,0.20925235765053,NA,NA
"ln_Index_ctl",14.7431166454715,0.162833725040673,NA,NA
"ln_Index_ctl",15.7288592007184,0.162442244998752,NA,NA
"ln_Index_ctl",14.0735840014772,0.375663499226968,NA,NA
"ln_Index_ctl",15.6968718781659,0.353001397034894,NA,NA
"ln_Index_ctl",13.7729558106687,0.381853845907198,NA,NA
"ln_Index_ctl",13.6925554095283,0.313667166651043,NA,NA
"ln_Index_ctl",13.6568381567356,0.481784593024492,NA,NA
"ln_Index_ctl",13.379604400507,0.523342752306521,NA,NA
"ln_Index_ctl",13.4943424468638,0.39791099280999,NA,NA
"ln_Index_ctl",15.4470396267751,0.153158728757873,NA,NA
"ln_Index_ctl",16.0030999221375,0.200496538303812,NA,NA
"ln_Index_ctl",15.45086737816,0.15299261705713,NA,NA
"ln_Index_ctl",15.260985410441,0.193117957190794,NA,NA
"ln_Index_ctl",15.4582131905146,0.152607977685216,NA,NA
"ln_Index_ctl",16.338213969295,0.362894027224629,NA,NA
