"","Estimate","Std. Error","Est. (bias.correct)","Std. (bias.correct)"
"mean_Z_ctm",499.135042004001,27.060802672097,NA,NA
"mean_Z_ctm",543.86920431066,27.7759233942946,NA,NA
"mean_Z_ctm",432.88686028652,34.0291543684909,NA,NA
"mean_Z_ctm",526.955156544835,27.8504962583092,NA,NA
"mean_Z_ctm",599.058641423054,31.3844816758194,NA,NA
"mean_Z_ctm",656.569562912269,17.311986777844,NA,NA
"mean_Z_ctm",617.652240631942,44.7700957025631,NA,NA
"mean_Z_ctm",543.311275905392,31.5783774127738,NA,NA
"mean_Z_ctm",653.426902292805,27.0580787132461,NA,NA
"mean_Z_ctm",618.66162035741,32.3896636754675,NA,NA
"mean_Z_ctm",662.524850336747,24.5659449539481,NA,NA
"mean_Z_ctm",541.283665000747,22.8983832104321,NA,NA
"mean_Z_ctm",444.796310771654,40.8920718336874,NA,NA
"mean_Z_ctm",542.078533225124,22.6695150658898,NA,NA
"mean_Z_ctm",459.568245464279,32.1322167187707,NA,NA
"mean_Z_ctm",541.62146633945,22.6850558637404,NA,NA
"mean_Z_ctm",522.218383588502,48.534421987352,NA,NA
"mean_Z_ctm",6375.10399058719,13.3852864420543,NA,NA
"mean_Z_ctm",6373.58900544763,9.23489828865602,NA,NA
"mean_Z_ctm",6433.24728551254,18.7157944423811,NA,NA
"mean_Z_ctm",6345.88590420066,17.0746275768227,NA,NA
"mean_Z_ctm",6329.41522192179,12.8969958565913,NA,NA
"mean_Z_ctm",6347.03613804905,7.90410712375918,NA,NA
"mean_Z_ctm",6359.06822923831,17.4758960796684,NA,NA
"mean_Z_ctm",6324.39241500387,22.9622979466964,NA,NA
"mean_Z_ctm",6334.93223826584,10.8754610886245,NA,NA
"mean_Z_ctm",6329.02943526495,13.4700078072036,NA,NA
"mean_Z_ctm",6340.91394383489,10.9269380542162,NA,NA
"mean_Z_ctm",6369.66280680058,9.35469923308776,NA,NA
"mean_Z_ctm",6432.79914347603,16.4783855064782,NA,NA
"mean_Z_ctm",6368.91756105078,9.10530308694872,NA,NA
"mean_Z_ctm",6371.85994369429,16.7894342957524,NA,NA
"mean_Z_ctm",6368.87450294852,9.12952140726128,NA,NA
"mean_Z_ctm",6377.66915376932,15.7723899612561,NA,NA
"mean_D_ctl",30.2366836233858,9.23484981350746,NA,NA
"mean_D_ctl",66.371382266488,23.2268866250004,NA,NA
"mean_D_ctl",25.5150164504916,11.1852107414187,NA,NA
"mean_D_ctl",59.7072490746832,16.3498601416239,NA,NA
"mean_D_ctl",24.8409238056233,15.733697599255,NA,NA
"mean_D_ctl",363.407990015661,256.103320628597,NA,NA
"mean_D_ctl",14.4753807532828,10.4781031994767,NA,NA
"mean_D_ctl",9.24875574969331,5.31793967494823,NA,NA
"mean_D_ctl",48.2713407985494,36.6563270018059,NA,NA
"mean_D_ctl",18.8085734776396,15.4815953423298,NA,NA
"mean_D_ctl",27.4657550909744,17.9135264054171,NA,NA
"mean_D_ctl",62.8944920565825,28.3968899418323,NA,NA
"mean_D_ctl",92.8346645456177,27.9705084374562,NA,NA
"mean_D_ctl",62.8973354817504,28.4786736602257,NA,NA
"mean_D_ctl",26.8979985277512,8.01724838114026,NA,NA
"mean_D_ctl",62.8755025912151,28.449473343959,NA,NA
"mean_D_ctl",108.047561975303,57.9403859570699,NA,NA
"log_mean_D_ctl",3.40905587675847,0.305418739982615,NA,NA
"log_mean_D_ctl",4.19526597361699,0.349953335787735,NA,NA
"log_mean_D_ctl",3.23926715925379,0.438377563389861,NA,NA
"log_mean_D_ctl",4.0894534380637,0.273833753773736,NA,NA
"log_mean_D_ctl",3.21249244661622,0.63337811920237,NA,NA
"log_mean_D_ctl",5.89552614255487,0.704726719458095,NA,NA
"log_mean_D_ctl",2.67244932731227,0.723856828228879,NA,NA
"log_mean_D_ctl",2.22448902892991,0.574989741201088,NA,NA
"log_mean_D_ctl",3.87683802634379,0.759380750470213,NA,NA
"log_mean_D_ctl",2.93431280192773,0.823113744417407,NA,NA
"log_mean_D_ctl",3.31293995926117,0.652213141276559,NA,NA
"log_mean_D_ctl",4.14145859320421,0.45150042576519,NA,NA
"log_mean_D_ctl",4.53082011040558,0.301293795527336,NA,NA
"log_mean_D_ctl",4.1415038016287,0.452780287783236,NA,NA
"log_mean_D_ctl",3.29205187966685,0.298061150269924,NA,NA
"log_mean_D_ctl",4.14115662188641,0.452473096381006,NA,NA
"log_mean_D_ctl",4.68257151884181,0.536248897224666,NA,NA
"effective_area_ctl",115620.574760201,23608.5602030583,NA,NA
"effective_area_ctl",82641.0883653121,20622.7933305956,NA,NA
"effective_area_ctl",99096.5083621661,33281.2247253661,NA,NA
"effective_area_ctl",113482.709223439,19973.9187916262,NA,NA
"effective_area_ctl",52108.9269076182,19624.0737261479,NA,NA
"effective_area_ctl",18058.0299175006,7471.29280894271,NA,NA
"effective_area_ctl",66204.6832484022,31054.4156334253,NA,NA
"effective_area_ctl",95613.2206310926,40242.8102203949,NA,NA
"effective_area_ctl",17676.6551579002,8047.09255754428,NA,NA
"effective_area_ctl",34382.1082339455,16198.6762724205,NA,NA
"effective_area_ctl",26407.4774983184,10091.0529789721,NA,NA
"effective_area_ctl",81273.9668711786,27634.3600536423,NA,NA
"effective_area_ctl",96016.9302557789,20830.26348279,NA,NA
"effective_area_ctl",81581.9712951814,27837.8151629829,NA,NA
"effective_area_ctl",157776.307064264,29433.8638308484,NA,NA
"effective_area_ctl",82212.0010553792,28056.5674634801,NA,NA
"effective_area_ctl",115340.332558432,29553.0848574255,NA,NA
